10000, 0.00016
                20000, 0.000744
                30000, 0.002164
                40000, 0.004498
                50000, 0.008128
                60000, 0.013458
                70000, 0.020952
                80000, 0.030975
                90000, 0.044418
                100000, 0.061501
                110000, 0.08254
                120000, 0.107937
                130000, 0.135421
                140000, 0.168338
                150000, 0.20639
                160000, 0.248379
                170000, 0.294582
                180000, 0.344381
                190000, 0.403293
                200000, 0.468028
